question,category,faithfulness,answer_relevancy,context_precision,tools_used,n_contexts,n_rag_contexts,duration_s,answer_preview,error
¿Hay Fair Value Gaps no mitigados en BTC 1h?,ict,0.8333,0.6179,0.0,get_ict_context,1,0,7.87,"**Resumen Ejecutivo:** En el análisis del gráfico de 1 hora de Bitcoin, se han identificado varios Fair Value Gaps (FVG) no mitigados por debajo del precio actual. Esto sugiere que hay áreas de precio",
"¿Cuál es el bias multitimeframe combinando 1h, 4h y 1d?",ict,1.0,0.5781,1.0,get_multi_timeframe_bias,1,0,9.52,"### Resumen Ejecutivo El análisis de bias multitimeframe muestra una combinación de señales alcistas en el marco de 1 hora, una tendencia neutral en 4 horas y un sesgo bajista en el marco diario. La f",
¿Dónde está la zona de entrada ICT para un long y cuál sería el stop loss?,ict,1.0,0.5998,0.2857,"get_confluence_score,get_confluence_score,get_confluence_score,get_confluence_score,get_ict_context,get_technical_levels,get_trade_parameters",7,0,18.1,"### Resumen Ejecutivo La zona de entrada para un trade long se encuentra en un Order Block (OB) activo a un precio de **60,746 USD**. El stop loss recomendado se establece en **59,882.47 USD**, lo que",
¿Cómo podría afectar una subida de tipos de la Fed al precio de Bitcoin?,macro,,0.7057,,,0,0,10.24,Una subida de tipos de interés por parte de la Reserva Federal (Fed) puede tener varios efectos en el precio de Bitcoin y en el mercado de criptomonedas en general. Aquí hay algunos puntos clave a con,
¿Qué impacto tiene el dólar fuerte (DXY) sobre Bitcoin?,macro,,0.6701,,,0,0,8.84,"Un dólar fuerte, medido a través del índice DXY (que compara el valor del dólar estadounidense con una cesta de otras monedas), puede tener un impacto significativo en el precio de Bitcoin y en su com",
¿Qué eventos macro relevantes podrían mover Bitcoin esta semana?,macro,1.0,0.746,0.8,rag_search,5,5,10.68,"Esta semana, hay varios eventos macro relevantes que podrían influir en el precio de Bitcoin. A continuación, se presentan algunos de los más destacados:  1. **Reforma del GENIUS Act**: Este evento ha",
¿Qué predice el modelo ensemble para Bitcoin en las próximas horas?,ml_prediction,0.0,0.6137,0.0,run_ml_prediction,1,0,2.61,"Parece que ha habido un error al intentar obtener la predicción del modelo ensemble para Bitcoin. No puedo proporcionar la predicción en este momento.   Si deseas, puedo analizar otros aspectos del me",
¿Cuál es la confianza del modelo ML actualmente y es estadísticamente significativa?,ml_prediction,,0.6341,,,0,0,2.67,"El modelo de predicción ML que se está utilizando tiene un AUC medio de aproximadamente 0.528, lo que indica que su capacidad para discriminar entre resultados positivos y negativos es apenas mejor qu",
¿Cuál es el confluence score actual de BTC y qué módulos lo dominan?,ml_prediction,0.0,0.8572,0.0,"get_confluence_score,get_confluence_score,get_confluence_score,get_confluence_score",4,0,8.41,"Parece que hay un problema técnico al intentar obtener el confluence score actual de BTC. No puedo acceder a los datos en este momento.  Sin embargo, el confluence score es un indicador que combina di",
"Dame los parámetros de trade (entry, SL, TP, sizing) para un long ahora mismo.",ml_prediction,1.0,0.4675,0.1429,"get_confluence_score,get_confluence_score,get_confluence_score,get_confluence_score,get_confluence_score,get_technical_levels,get_trade_parameters",7,0,17.72,### Resumen Ejecutivo El análisis actual sugiere una oportunidad para abrir una posición larga en Bitcoin. Los parámetros de trade se han calculado basándose en el precio actual y las condiciones del ,
